Title,Address,Lat,Lng,Img_URL,Description,Rank_of_province,Link,Type,PlaceName,GoogleMapsURL
Elgin,"27 Mạc Đĩnh Chi, Đakao Quận 1, Thành phố Hồ Chí Minh Việt Nam","107,848,935","1,066,992,746",https://media-cdn.tripadvisor.com/media/photo-s/26/2c/31/44/kitchen-bar.jpg,"Đặt chỗ, Chỗ ngồi, Có bãi đỗ xe, Bãi đỗ xe tập trung miễn phí, Phục vụ đồ uống có cồn, Rượu và bia, Chấp nhận thẻ American Express, Chấp nhận thẻ Mastercard, Chấp nhận thẻ Visa, Thanh toán điện tử, Wifi miễn phí, Chấp nhận thẻ Discover, Chấp nhận thẻ tín dụng, Dịch vụ bàn, Nhà hàng không hút thuốc",#499 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d24190498-Reviews-Elgin-Ho_Chi_Minh_City.html,Food,"Elgin 27 Mạc Đĩnh Chi, Đakao Quận 1, Thành phố Hồ Chí Minh Việt Nam",https://maps.app.goo.gl/DnJVw6S6Nr1dizAh9
Amigo Café,"104 Đ. Nguyễn Công Trứ Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 712222 Việt Nam","107,672,511","1,066,997,734",https://media-cdn.tripadvisor.com/media/photo-s/29/4d/5f/95/latte-with-gold-24k.jpg,"Thật tuyệt vời cho ly cà phê, nhân viên nhiệt tình, thân thiện, thức uống phù hợp, nhưng cần có thêm nhiều món nữa",#1 trên 679 quán cà phê & trà ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d20199402-Reviews-Amigo_Cafe-Ho_Chi_Minh_City.html,Food,"Amigo Café 104 Đ. Nguyễn Công Trứ Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 712222 Việt Nam",https://maps.app.goo.gl/vo3YytT4geE2MJiw7
Banh Mi,"10 Lê Thị Riêng Ben Thanh Ward , District 1, Thành phố Hồ Chí Minh 700000 Việt Nam","107,712,008","1,066,908,271",https://media-cdn.tripadvisor.com/media/photo-s/28/35/57/ce/banh-mi-ngon.jpg,Bánh mì tuyệt vời với không gian nhỏ sạch đẹp và yên tĩnh ‘ tôi đã từng ăn rất nhiều loại bánh mì và nơi đây là ngon nhất tôi từng có Rất khuyến khích,#1 trên 63 tiệm bánh ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12731224-Reviews-Charm_Bakery-Ho_Chi_Minh_City.html,Food,"Banh Mi 10 Lê Thị Riêng Ben Thanh Ward , District 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://maps.app.goo.gl/ZsHakzqAPzjF2pmo6
Belgo Belgian Craft Beer Brewery - Ton That Thiep,"29 - 31 Ton That Thiep Street, Thành phố Hồ Chí Minh Việt Nam","10,773,196","1,067,020,888",https://media-cdn.tripadvisor.com/media/photo-s/29/3d/96/95/bar-corner.jpg,"Một nhà hàng đẹp nằm giữa trung tâm quận 1, không gian rộng rãi và khá đẹp, sang trọng. Giá cả đồ ăn hợp lý khi khẩu phần mỗi món khá nhiều, vị cũng rất ngon, hấp dẫn. Nhân viên take care khách hàng khá...Thêm",#465 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d25794916-Reviews-Belgo_Belgian_Craft_Beer_Brewery_Ton_That_Thiep-Ho_Chi_Minh_City.html,Food,"Belgo Belgian Craft Beer Brewery - Ton That Thiep 29 - 31 Ton That Thiep Street, Thành phố Hồ Chí Minh Việt Nam",https://maps.app.goo.gl/S6u7TAZonkSLf18a9
Secret Garden 131 Calmette,"131 Calmette Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","107,684,792","1,066,987,993",https://media-cdn.tripadvisor.com/media/photo-s/18/2c/e8/61/getlstd-property-photo.jpg,"Đồ ăn ngon, nhiều món để lựa, cả 3 miền đều có những món ngon ở đây. Không gian rộng và đẹp. Nhân viên ra món nhanh. Giá cả cũng rất hợp lý. Chắc chắn sẽ quay lại.",#31 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17704147-Reviews-Secret_Garden_131_Calmette-Ho_Chi_Minh_City.html,Food,"Secret Garden 131 Calmette 131 Calmette Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://maps.app.goo.gl/H3kQeMN6qQwqM7u88
Dalcheeni HCMC,"2A Ngô Văn Năm Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 710000 Việt Nam","107,813,671","106,705,959",https://media-cdn.tripadvisor.com/media/photo-s/1c/ad/ec/91/dalcheeni-hcm-2a-ngo.jpg,"Quán ăn ngon, không gian đẹp, quản lý nhiệt tình, vị trí dễ tìm. Nhà hàng ấm cúng, thích hợp đi ăn cùng bạn bè, gia đình",#33 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d21272060-Reviews-Dalcheeni_HCMC-Ho_Chi_Minh_City.html,Food,"Dalcheeni HCMC 2A Ngô Văn Năm Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 710000 Việt Nam",https://maps.app.goo.gl/2KSJdojbxwP9kLpN9
"Shamballa Vegetarian, Restaurant & Tea House","17-19 Trịnh Văn Cấn Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","107,672,615","1,066,963,863",https://media-cdn.tripadvisor.com/media/photo-s/21/cd/f3/34/delicious-dishes.jpg,Ngày đầu năm mình và gia đình ghé qua Shamballa sau 1 ngày đi viếng thăm họ hàng. Shamballa là địa điểm quen thuộc của mình và gia đình mỗi Tết đến Xuân về. Tết nhà hàng trang trí rất đẹp và có thêm nhiều...Thêm,#30 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17122565-Reviews-Shamballa_Vegetarian_Restaurant_Tea_House-Ho_Chi_Minh_City.html,Food,"Shamballa Vegetarian, Restaurant & Tea House 17-19 Trịnh Văn Cấn Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://maps.app.goo.gl/u6LDg2zgtZZGdQ3a9
Italiani's Pizza,"17 Hàn Thuyên, Thành phố Hồ Chí Minh Việt Nam","108,466,438","106,769,276",https://media-cdn.tripadvisor.com/media/photo-s/1a/f0/74/2c/meal-at-italiani-s.jpg,"Quán view công viên đường Hàn Thuyên, có chỗ đổ ô tô, chủ quán nice, mì Ý và Pizza rất ngon đúng chất Ý, free kem cho trẻ con Gia đình chủ nhật ra đây rất tuyệt",#29 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12926285-Reviews-Italiani_s_Pizza-Ho_Chi_Minh_City.html,Food,"Italiani's Pizza 17 Hàn Thuyên, Thành phố Hồ Chí Minh Việt Nam",https://maps.app.goo.gl/eZSGYkvUZ29FY5E97
Nắng Vietnamese Fusion Food,Thành phố Hồ Chí Minh 700000 Việt Nam,"10,781,971","106,693,081",https://media-cdn.tripadvisor.com/media/photo-s/1a/87/13/a5/vietnamese-cuisine.jpg,"Không gian quán thoải mái, nhân viên nhiệt tình chu đáo, món ăn ngon đa dạng hợp khẩu vị tuyệt vời ^^",#32 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d16850048-Reviews-Hello_SaiGon_Vietnamese_Fusion_Food-Ho_Chi_Minh_City.html,Food,Nắng Vietnamese Fusion Food Thành phố Hồ Chí Minh 700000 Việt Nam,
BIG PIG Bar - BBQ - Beer,"84 Ngô Đức Kế Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","10,772,319","106,704,366",https://media-cdn.tripadvisor.com/media/photo-s/27/9d/ec/36/bbq-good-to-share.jpg,"Giao hàng, Cửa hàng bán thức ăn mang về, Đặt chỗ, Ăn tối phòng riêng, Chỗ ngồi, Tivi, Phục vụ đồ uống có cồn, Quầy bar đầy đủ, Rượu và bia, Chấp nhận thẻ Mastercard, Chấp nhận thẻ Visa, Wifi miễn phí, Chấp nhận thẻ tín dụng, Dịch vụ bàn",#150 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d25226949-Reviews-BIG_PIG_Bar_BBQ_Beer_84_Ngo_Duc_Ke_District_1-Ho_Chi_Minh_City.html,Food,"BIG PIG Bar - BBQ - Beer 84 Ngô Đức Kế Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://maps.app.goo.gl/DmWVcCmZ9S5AiN8i6
