Title,Address,Lat,Lng,Img_URL,Description,Rank_of_province,Link,Type,PlaceName,GoogleMapsURL
Bánh Canh Cua Khánh Linh,"15/35 Phạm Văn Hai, Thành phố Hồ Chí Minh Việt Nam","107,978,904","1,066,648,784",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,10.000 ₫ - 60.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12921419-Reviews-Banh_Canh_Cua_Khanh_Linh-Ho_Chi_Minh_City.html,Food,"Bánh Canh Cua Khánh Linh 15/35 Phạm Văn Hai, Thành phố Hồ Chí Minh Việt Nam",
Biacraft Nguyen Duc Canh | D.7,"167 Nguyen Duc Canh, Tan Phong, District 7, Thành phố Hồ Chí Minh 70000 Việt Nam","107,282,004","1,067,085,879",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Quán rượu, Quán rượu đặc sản",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d24118709-Reviews-Biacraft_Nguyen_Duc_Canh_D_7-Ho_Chi_Minh_City.html,Food,"Biacraft Nguyen Duc Canh | D.7 167 Nguyen Duc Canh, Tan Phong, District 7, Thành phố Hồ Chí Minh 70000 Việt Nam",
Rocket Bistro Saigon,"68 Nguyen Dinh Chieu,phuong Dakao, Quan 1, Thành phố Hồ Chí Minh 700000 Việt Nam","107,664,486","1,066,787,499",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Giao hàng, Đặt chỗ, Ngồi ngoài trời, Chỗ ngồi, Có bãi đỗ xe, Bãi đỗ xe đường phố, Tivi, Phục vụ đồ uống có cồn, Rượu và bia, Chấp nhận thẻ Mastercard, Chấp nhận thẻ Visa, Thanh toán điện tử, Chấp nhận thẻ tín dụng",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d25446182-Reviews-Rocket_Bistro_Saigon-Ho_Chi_Minh_City.html,Food,"Rocket Bistro Saigon 68 Nguyen Dinh Chieu,phuong Dakao, Quan 1, Thành phố Hồ Chí Minh 700000 Việt Nam",
Mộc Vị,"160 Nguyễn Gia Trí, P.25, Q. Bình Thạnh, Thành phố Hồ Chí Minh Việt Nam","108,042,341","1,067,159,106",https://media-cdn.tripadvisor.com/media/photo-p/2a/1c/a0/ca/m-c-v-quan.jpg,"Giao hàng, Cửa hàng bán thức ăn mang về, Chỗ ngồi, Bãi đỗ xe đường phố",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d26524233-Reviews-M_c_V-Ho_Chi_Minh_City.html,Food,"Mộc Vị 160 Nguyễn Gia Trí, P.25, Q. Bình Thạnh, Thành phố Hồ Chí Minh Việt Nam",
Tiệm Cơm 67 Tấm,"99/1B Võ Văn Tần, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh Việt Nam","107,818,872","1,066,955,925",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Giao hàng, Cửa hàng bán thức ăn mang về, Ngồi ngoài trời, Chỗ ngồi, Có bãi đỗ xe, Chỉ chấp nhận tiền mặt, Wifi miễn phí, Phong cách gia đình",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d26309707-Reviews-Ti_m_Com_67_T_m-Ho_Chi_Minh_City.html,Food,"Tiệm Cơm 67 Tấm 99/1B Võ Văn Tần, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh Việt Nam",
Quán Ba Anh Em,"103 Đỗ Tấn Phong Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh 700000 Việt Nam","108,025,171","106,677,603",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,20.000 ₫ - 99.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d15086654-Reviews-Quan_Ba_Anh_Em-Ho_Chi_Minh_City.html,Food,"Quán Ba Anh Em 103 Đỗ Tấn Phong Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh 700000 Việt Nam",
Ốc Châu,"159 Ngô Thị Thu Minh Phường 2, Tân Bình,, Thành phố Hồ Chí Minh Việt Nam","10,796,862","1,066,627,266",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,Kiểu Việt,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d15581263-Reviews-Oc_Chau-Ho_Chi_Minh_City.html,Food,"Ốc Châu 159 Ngô Thị Thu Minh Phường 2, Tân Bình,, Thành phố Hồ Chí Minh Việt Nam",
Kudu Cafe,"33/72 Nguyen Trung Truc Street, Ben Thanh, D1, Thành phố Hồ Chí Minh 848 Việt Nam","107,743,711","1,066,986,868",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Cà phê, Kiểu Việt",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d5503079-Reviews-Kudu_Cafe-Ho_Chi_Minh_City.html,Food,"Kudu Cafe 33/72 Nguyen Trung Truc Street, Ben Thanh, D1, Thành phố Hồ Chí Minh 848 Việt Nam",
Yu Bar & Lounge,"8/1 Le Thanh Ton, Ward, St, Quận 1 Grand Floor, Thành phố Hồ Chí Minh 70000 Việt Nam","107,727,535","1,066,970,175",https://media-cdn.tripadvisor.com/media/photo-s/26/96/8e/df/counter.jpg,Bữa tối,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d25065843-Reviews-Yu_Bar_Lounge-Ho_Chi_Minh_City.html,Food,"Yu Bar & Lounge 8/1 Le Thanh Ton, Ward, St, Quận 1 Grand Floor, Thành phố Hồ Chí Minh 70000 Việt Nam",
MINOS - Gói trọn vị ngon từ biển,"111/31 Phạm Văn Chiêu, Phường 14, Gò Vấp, Thành phố Hồ Chí Minh 70000 Việt Nam","108,515,332","1,066,579,222",https://media-cdn.tripadvisor.com/media/photo-s/22/2c/8a/7c/l-u-h-i-s-n-party-tom.jpg,Hải sản,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d23859020-Reviews-MINOS_Goi_tr_n_v_ngon_t_bi_n-Ho_Chi_Minh_City.html,Food,"MINOS - Gói trọn vị ngon từ biển 111/31 Phạm Văn Chiêu, Phường 14, Gò Vấp, Thành phố Hồ Chí Minh 70000 Việt Nam",
