Title,Address,Lat,Lng,Img_URL,Description,Rank_of_province,Link,Type,PlaceName
Roti Mojo,"16 ( S7-1) St. No. 6, Hung Vuong/R13 Tan Phong, Ward, Quận 7, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh 700000 Việt Nam","10,781,971","106,693,081",https://media-cdn.tripadvisor.com/media/photo-s/29/bc/c2/c5/dine-in-space.jpg,"Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d26317726-Reviews-Roti_Mojo-Ho_Chi_Minh_City.html,Food,"Roti Mojo 16 ( S7-1) St. No. 6, Hung Vuong/R13 Tan Phong, Ward, Quận 7, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh 700000 Việt Nam"
Sakura Shokudo,"34 Nguyễn Công Trứ Phường 19, Bình Thạnh, Thành phố Hồ Chí Minh 700000 Việt Nam","107,922,672","1,067,101,949",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Kiểu Nhật, Đồ nướng, Kiểu Á",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d16820750-Reviews-Sakura_Shokudo-Ho_Chi_Minh_City.html,Food,"Sakura Shokudo 34 Nguyễn Công Trứ Phường 19, Bình Thạnh, Thành phố Hồ Chí Minh 700000 Việt Nam"
Nhà @151DongKhoi,"151/6 Đồng Khởi, Q.1 Level 2, left staircase of Artarcade, Thành phố Hồ Chí Minh 700000 Việt Nam","107,760,265","1,067,031,172",https://media-cdn.tripadvisor.com/media/photo-p/0b/b8/c1/90/getlstd-property-photo.jpg,95.238 ₫ - 190.476 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10778342-Reviews-Nha_151DongKhoi-Ho_Chi_Minh_City.html,Food,"Nhà @151DongKhoi 151/6 Đồng Khởi, Q.1 Level 2, left staircase of Artarcade, Thành phố Hồ Chí Minh 700000 Việt Nam"
Kebab House,"31 đường số 47 Thao Dien, Thành phố Hồ Chí Minh 70000 Việt Nam","108,106,591","1,067,295,437",https://media-cdn.tripadvisor.com/media/photo-s/1b/84/28/a0/kebab.jpg,"Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d21051798-Reviews-Kebab_House-Ho_Chi_Minh_City.html,Food,"Kebab House 31 đường số 47 Thao Dien, Thành phố Hồ Chí Minh 70000 Việt Nam"
8A Coffee,"F8A Le Duc Tho Ward 17 Go Vap District, Thành phố Hồ Chí Minh 70000 Việt Nam",,,https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,Cà phê,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d5031039-Reviews-8A_Coffee-Ho_Chi_Minh_City.html,Food,"8A Coffee F8A Le Duc Tho Ward 17 Go Vap District, Thành phố Hồ Chí Minh 70000 Việt Nam"
AQ Yakitori,"18 Bis Cộng Hòa, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh Việt Nam","108,008,668","1,066,608,508",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Kiểu Á, Kiểu Hàn Quốc, Kiểu Bữa tối, Phong cách ẩm thực Fusion Nhật Bản",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d26345026-Reviews-AQ_Yakitori-Ho_Chi_Minh_City.html,Food,"AQ Yakitori 18 Bis Cộng Hòa, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh Việt Nam"
W&A Bistro,"12-14-16 Cao Bá Quát Khách sạn Nhật Hạ 3, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","107,801,495","1,067,032,527",https://media-cdn.tripadvisor.com/media/photo-p/1b/07/29/23/logo.jpg,"Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d19393117-Reviews-W_A_Bistro-Ho_Chi_Minh_City.html,Food,"W&A Bistro 12-14-16 Cao Bá Quát Khách sạn Nhật Hạ 3, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam"
Ccomaya Kids Cafe,"101-107 Khu Phố Mỹ Hào, Thành phố Hồ Chí Minh Việt Nam","10,781,971","106,693,081",https://media-cdn.tripadvisor.com/media/photo-s/28/78/41/6a/play.jpg,"Giao hàng, Đặt chỗ, Ngồi ngoài trời, Ăn tối phòng riêng, Chỗ ngồi, Có bãi đỗ xe, Bãi đỗ xe có vé, Phục vụ đồ uống có cồn, Rượu và bia, Thanh toán điện tử, Wifi miễn phí, Chấp nhận thẻ tín dụng, Dịch vụ bàn, Sân chơi, Phong cách gia đình",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d25355131-Reviews-Ccomaya_Kids_Cafe-Ho_Chi_Minh_City.html,Food,"Ccomaya Kids Cafe 101-107 Khu Phố Mỹ Hào, Thành phố Hồ Chí Minh Việt Nam"
Gà Nướng Ò Ó O,"50/25 Quang Trung P.10, Q.Gò Vấp, Thành phố Hồ Chí Minh Việt Nam","108,379,313","1,066,523,565",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,50.000 ₫ - 175.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d13073124-Reviews-Ga_Nuong_O_O_O-Ho_Chi_Minh_City.html,Food,"Gà Nướng Ò Ó O 50/25 Quang Trung P.10, Q.Gò Vấp, Thành phố Hồ Chí Minh Việt Nam"
Quán Nướng Cô Lệ,"198 Bùi Viện Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","107,667,355","1,066,924,554",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,Kiểu Việt,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17120012-Reviews-Quan_Nuong_Co_Le-Ho_Chi_Minh_City.html,Food,"Quán Nướng Cô Lệ 198 Bùi Viện Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam"
